"","nmc","3003","3008","3015","3016","3017","3018","3019","3035","3037","3049","3054","3088","4097","4142","4147","4150","4153","4160","4173","4178","4179","4185","4196","CAPTACAO","controle","junco","pousio1","pousio2","pousio3","pousio4","SALAO","uri"
"61","Portulaca_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"62","Portulaca_umbraticola",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Prosopis_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Schenckia_sp",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Schwenckia_americana",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Scleria_sp",0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"67","Scoparia_dulcis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"68","Senna_uniflora",0,0,0,1,3,1,0,1,1,0,2,0,12,0,0,1,6,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0
"69","Sida_galheirensis",1,0,2,8,4,0,3,0,1,0,0,0,0,3,6,0,0,0,7,0,4,1,13,0,0,0,0,0,0,0,11,0
"70","Stemodia_durantifolia",0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"71","Tephrosia_purpurea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"72","Tragus_berteronianus",102,6,146,45,0,27,4,4,13,0,2,29,0,59,3,6,95,23,62,72,88,28,4,0,0,2,0,2,16,120,0,0
"73","Trianthema_portulacastrom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
"74","Tridax_procumbens",0,0,0,0,0,0,0,0,0,27,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"75","Waltheria_operculata",0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Waltheria_rotundifolia",1,16,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0
